Species,Type,Team,Weight (lbs),Length (in),Girth (in),Points,Time of Catch
Spearfish,Catch & Release,Sashimi,0,0,0,150,"09:21 AM, Jul 19th 2025"
Sailfish,Catch & Release,Reelity Check,0,0,0,100,"08:43 AM, Jul 18th 2025"
White Marlin,Catch & Release,Poured Out,0,0,0,150,"05:43 PM, Jul 17th 2025"
Sailfish,Catch & Release,El Patron,0,0,0,100,"09:16 AM, Jul 19th 2025"
White Marlin,Catch & Release,Big Trouble,0,0,0,150,"01:07 PM, Jul 18th 2025"
Blue Marlin,Catch & Release,El Patron,0,0,0,300,"03:55 PM, Jul 17th 2025"
Dorado,Meatfish,Miss Catherine,13,39.25,1,13,"03:42 PM, Jul 19th 2025"
Dorado,Meatfish,Reelity Check,6.0,27.75,1,6,"03:35 PM, Jul 19th 2025"
White Marlin,Catch & Release,El Patron,0,0,0,150,"03:58 PM, Jul 18th 2025"
Sailfish,Catch & Release,Vamonos (58' Viking),0,0,0,100,"04:39 PM, Jul 17th 2025"
White Marlin,Catch & Release,Backlash,0,0,0,150,"07:20 PM, Jul 17th 2025"
Sailfish,Catch & Release,Poured Out,0,0,0,100,"01:50 PM, Jul 18th 2025"
White Marlin,Catch & Release,La Belle,0,0,0,150,"11:32 AM, Jul 18th 2025"
Blue Marlin,Catch & Release,Big Trouble,0,0,0,300,"05:36 PM, Jul 18th 2025"
Dorado,Meatfish,Trophy Club,15.5,40,1,15,"03:59 PM, Jul 19th 2025"
Sailfish,Catch & Release,Reelity Check,0,0,0,100,"06:35 PM, Jul 17th 2025"
Sailfish,Catch & Release,Unstable,0,0,0,100,"05:11 PM, Jul 18th 2025"
Tuna,Meatfish,A Team,9.5,25.25,1,9,"03:36 PM, Jul 19th 2025"
Sailfish,Catch & Release,Mi Novia,0,0,0,100,"09:58 AM, Jul 19th 2025"
Sailfish,Catch & Release,See-Mah,0,0,0,100,"07:58 PM, Jul 18th 2025"
Blue Marlin,Catch & Release,Deez Nautz,0,0,0,300,"07:55 PM, Jul 17th 2025"
Sailfish,Catch & Release,Poured Out,0,0,0,100,"07:48 AM, Jul 19th 2025"
White Marlin,Catch & Release,Vamanos (63'),0,0,0,150,"11:45 AM, Jul 19th 2025"
Sailfish,Catch & Release,Sigsbee Deep,0,0,0,100,"05:48 PM, Jul 18th 2025"
Sailfish,Catch & Release,Instigator,0,0,0,100,"12:48 PM, Jul 19th 2025"
Blue Marlin,Catch & Release,Instigator,0,0,0,300,"04:08 PM, Jul 18th 2025"
White Marlin,Catch & Release,Sashimi,0,0,0,150,"11:30 AM, Jul 18th 2025"
Sailfish,Catch & Release,Unstable,0,0,0,100,"10:13 AM, Jul 18th 2025"
Sailfish,Catch & Release,See-Mah,0,0,0,100,"11:06 AM, Jul 18th 2025"
Dorado,Meatfish,El Patron,6,29.25,1,6,"03:22 PM, Jul 19th 2025"
Sailfish,Catch & Release,The Edge,0,0,0,100,"07:45 AM, Jul 19th 2025"
White Marlin,Catch & Release,Big Trouble,0,0,0,150,"06:26 PM, Jul 18th 2025"
Wahoo,Meatfish,Overnight Celebrity,13,41,1,13,"01:37 PM, Jul 19th 2025"
White Marlin,Catch & Release,Desperado,0,0,0,150,"07:23 PM, Jul 18th 2025"
Dorado,Meatfish,Mi Novia,8.5,32.25,1,8,"04:08 PM, Jul 19th 2025"
White Marlin,Catch & Release,Unstable,0,0,0,150,"08:47 AM, Jul 19th 2025"
Sailfish,Catch & Release,Vamonos (58' Viking),0,0,0,100,"01:23 PM, Jul 17th 2025"
White Marlin,Catch & Release,Game Plan,0,0,0,150,"04:00 PM, Jul 17th 2025"
Sailfish,Catch & Release,Instigator,0,0,0,100,"05:50 PM, Jul 18th 2025"
Blue Marlin,Catch & Release,El Patron,0,0,0,300,"07:10 PM, Jul 17th 2025"
Sailfish,Catch & Release,Mi Novia,0,0,0,100,"01:58 PM, Jul 17th 2025"
Sailfish,Catch & Release,Instigator,0,0,0,100,"03:52 PM, Jul 17th 2025"
Sailfish,Catch & Release,Game Plan,0,0,0,100,"10:05 AM, Jul 18th 2025"
Dorado,Meatfish,Double E,10.0,32.75,1,10,"04:35 PM, Jul 19th 2025"
Sailfish,Catch & Release,Freebird,0,0,0,100,"05:38 PM, Jul 18th 2025"
Sailfish,Catch & Release,Sea Señora,0,0,0,100,"02:05 PM, Jul 18th 2025"
Sailfish,Catch & Release,El Patron,0,0,0,100,"06:33 AM, Jul 19th 2025"
Spearfish,Catch & Release,Mi Novia,0,0,0,150,"10:37 AM, Jul 19th 2025"
Tuna,Meatfish,Miss Catherine,23,34,1,23,"03:42 PM, Jul 19th 2025"
Sailfish,Catch & Release,Sigsbee Deep,0,0,0,100,"07:34 AM, Jul 19th 2025"
Tuna,Meatfish,Deez Nautz,12.0,27.25,1,12,"04:17 PM, Jul 19th 2025"
Sailfish,Catch & Release,Sigsbee Deep,0,0,0,100,"08:37 PM, Jul 17th 2025"
Sailfish,Catch & Release,Freebird,0,0,0,100,"07:58 AM, Jul 18th 2025"
Blue Marlin,Catch & Release,Big Trouble,0,0,0,300,"12:25 PM, Jul 18th 2025"
Wahoo,Meatfish,Tipsea,25,49.5,1,25,"01:50 PM, Jul 19th 2025"
